5b5fe6467c687,Paraceutamol,Analgesics,200,5,Free Shipping,active,1533011526
5b5fe6467c689,Cloroquine,Analgesics,200,5,Free Shipping,active,1533011526
CO004,CO-CODAMOL TABS 8/500 X 100 (SATCHET),ANALGESIC,250,1,Free Shipping,UNIT,1533011526
PAR004,PARACETAMOL (EMZOR)  TABS 500MG X 96,ANALGESIC,40,2,Free Shipping,SACHET,1533011526
PAR006,PARACETAMOL (M&B)  TABS 500MG X 96,ANALGESIC,50,3,Free Shipping,SACHET,1533011526
AMP004,AMPICLOX (BEECHAM)  SUSP 250MG/5ML,ANTIBIOTICS,1500,1,Free Shipping,UNIT,1533011526
TEG002,TEGRETOL CR 400 TABS  X 30 (SAC),ANTICONVULSANT,2000,1,Free Shipping,UNIT,1533011526
AML003,AMLONG-10 TABS  X 30 (SATCHET),B.P. DRUGS,300,1,Free Shipping,UNIT,1533011526
ASM004,ASMANOL PLAIN,COUGH/COLD,200,1,Free Shipping,UNIT,1533011526
HYD004,HYDROGEN PEROXIDE (SKG-PHARMA)  SOLUTION,GENERAL,180,1,Free Shipping,UNIT,1533011526
INS003,INSUPEN 30G NEEDLE,GENERAL,60,2,Free Shipping,UNIT,1533011526
SOF004,SOFT FIX 2.5X5M PLASTER,GENERAL,550,3,Free Shipping,PACK,1533011526
SOF005,SOFT FIX 5X5M PLASTER,GENERAL,700,4,Free Shipping,UNIT,1533011526
ARA001,ARABIAN MYSTERY PERFUME,GROCERY,3500,1,Free Shipping,PACK,1533011526
BAK001,BAKED COCONUT CHIPS,GROCERY,500,2,Free Shipping,UNIT,1533011526
EVE008,EVERSURE BODY SPRAY,GROCERY,1000,3,Free Shipping,UNIT,1533011526
PAS001,PASSCODE BODY SPRAY,GROCERY,1000,4,Free Shipping,UNIT,1533011526
SMA004,SMART BLACK PERFUME,GROCERY,3500,5,Free Shipping,UNIT,1533011526
GOY001,GOYA OLIVE OIL S\S,OINTMENT / CREAM,550,1,Free Shipping,UNIT,1533011526
NEO015,NEO - MEDROL LOTION,OINTMENT / CREAM,1600,2,Free Shipping,UNIT,1533011526
ZET001,ZETGEL,OINTMENT / CREAM,550,3,Free Shipping,UNIT,1533011526
NAT050,CHOLESTEROL DEFENCE X60TAB,SUPPLEMENTS,5850,1,Free Shipping,PACK,1533011526
NAT 010,PROSTATE DEFENCE,SUPPLEMENTS,7400,2,Free Shipping,PACK,1533011526
FOL001,FOLIC ACID  TABS X 100,VITAMINS,250,1,Free Shipping,UNIT,1533011526
KIN008,KING TONIC 200ML,VITAMINS,450,2,Free Shipping,BOTTLES,1533011526
SUP007,SUPRAMULT PLUS TABS,VITAMINS,2600,3,Free Shipping,UNIT,1533011526
